account_id,risk_level,risk_score,total_transactions,total_amount,max_transactions,unique_receivers
155434,High,80,12,489376.1,422650.93,4
716444,Severe,120,491,4449529.81,544145.99,45
2207173,High,90,610,5842780.71,240541.18,54
2462474,Severe,120,306,2762198.61,299650.76,31
3454889,Severe,120,331,2606917.72,251343.08,33
5038103,High,90,416,1937079.39,169755.48,38
6014387,Severe,120,428,4622717.28,600255.63,38
7110440,High,90,417,2495066.45,218178.23,35
7184064,Severe,120,494,3637930.35,328880.54,48
9040024,Severe,120,607,4254532.71,591275.52,56
9351462,High,80,298,2966050.78,673223.43,28
12470473,Severe,120,541,5630965.52,606438.11,52
13527377,Severe,120,321,1259851.18,364725.99,33
13587741,High,90,470,3908678.1,241216.56,40
13719789,High,90,465,3051076.97,102500.08,41
14479020,High,80,264,2936022.63,401389.87,24
15085634,High,80,169,2497834.71,692058.58,22
15973702,Severe,120,476,4089673.42,317654.12,46
16497680,Severe,120,356,2480900.88,336892.65,33
17754342,High,90,392,3443254.83,189522.19,37
18484669,Severe,120,556,5480212.83,340980.8,49
18798475,Severe,120,428,3852030.2,385080.31,38
20828620,High,90,368,3069216.28,242072.29,35
20915173,High,80,265,2255507.52,308506.17,24
22295429,High,90,397,2679873.71,218837.55,35
22402737,High,80,223,3529166.79,313114.23,23
22458077,High,90,418,3038948.41,129780.01,36
22513864,High,90,617,4955790.93,139683.03,55
22691123,High,90,526,3363141.57,245382.55,43
22732379,Severe,120,395,4694510.25,644954.14,37
22941989,High,80,25,499557.93,464811.39,4
23039938,High,80,226,1665019.5,419110.29,28
24147901,Severe,120,617,5665114.56,720716.84,55
24474863,Severe,120,320,1584917.71,303080.02,32
25327078,High,80,176,1084413.43,307584.53,20
26187906,High,90,588,4115242.98,211153.76,53
26833245,High,90,428,3412641.89,172258.29,47
26856389,Severe,120,426,4257167.36,305809.34,40
27949202,Severe,120,514,4204553.78,902012.67,45
28703079,Severe,120,408,3067979.37,288654.99,34
28968986,High,90,301,1190726.51,152439.14,28
29442781,High,90,630,4665121.57,204654.67,56
29500520,Severe,120,434,3799724.25,326273.52,42
30260156,High,80,14,639460.17,353475.04,3
30747439,Severe,120,321,2675151.06,755190.5,31
